barracks_status_dire,barracks_status_radiant,dire_score,duration,first_blood_time,radiant_score,radiant_win,tower_status_dire,tower_status_radiant,dire_win
4,0,53,50.4,0.0,53,0.0,5,0,1.0
0,6,21,31.1,0.0,48,1.0,0,10,0.0
2,3,46,46.5,1.7,48,1.0,2,4,0.0
0,6,51,48.3,0.1,49,1.0,0,5,0.0
4,0,50,67.2,2.1,63,0.0,5,0,1.0
4,6,18,29.1,0.2,33,1.0,2,9,0.0
6,4,64,49.8,2.3,39,0.0,6,1,1.0
1,4,50,42.6,1.9,32,0.0,0,3,1.0
6,0,36,28.2,0.0,18,0.0,9,0,1.0
0,6,56,41.8,0.0,47,1.0,0,7,0.0
6,0,53,39.7,0.4,17,0.0,10,0,1.0
2,0,53,46.6,1.1,44,0.0,3,0,1.0
4,4,46,42.4,2.8,50,0.0,2,3,1.0
0,4,33,43.5,1.8,46,1.0,0,5,0.0
2,6,23,34.2,0.8,43,1.0,1,10,0.0
6,0,28,34.2,0.0,39,0.0,4,0,1.0
2,6,37,42.1,4.3,41,1.0,0,8,0.0
6,6,14,16.8,1.6,28,1.0,8,11,0.0
6,0,46,39.2,1.1,31,0.0,8,0,1.0
6,0,49,27.9,3.4,16,0.0,9,0,1.0
4,4,60,50.5,1.9,59,1.0,4,5,0.0
6,2,41,50.3,3.5,30,0.0,6,0,1.0
6,1,38,32.3,1.7,26,0.0,8,0,1.0
4,6,4,21.8,2.1,38,1.0,4,11,0.0
4,4,49,44.0,0.4,44,1.0,5,4,0.0
4,6,37,42.0,0.7,39,1.0,2,5,0.0
5,0,44,57.2,1.8,63,1.0,4,0,0.0
0,2,61,59.6,1.5,65,1.0,0,3,0.0
6,0,37,30.5,2.1,11,0.0,11,0,1.0
2,2,60,60.9,0.2,50,1.0,1,0,0.0
6,0,39,36.8,1.6,33,0.0,9,0,1.0
6,2,33,24.1,0.0,5,0.0,11,1,1.0
4,6,26,33.9,0.9,32,1.0,2,8,0.0
6,4,49,41.2,0.5,42,0.0,5,3,1.0
0,6,26,29.4,1.6,45,1.0,0,10,0.0
6,0,44,37.0,2.6,29,0.0,8,0,1.0
6,6,32,47.3,0.0,32,0.0,4,1,1.0
2,6,41,49.8,2.4,62,1.0,1,10,0.0
6,2,35,38.0,0.4,40,1.0,2,2,0.0
0,4,44,56.0,0.1,59,1.0,0,6,0.0
2,6,20,25.2,0.0,45,1.0,2,6,0.0
0,6,49,57.0,0.2,64,1.0,0,7,0.0
0,6,53,52.1,0.7,42,1.0,0,7,0.0
6,2,45,34.1,2.3,14,0.0,10,1,1.0
2,6,20,28.5,2.2,46,1.0,1,7,0.0
4,6,37,37.8,0.4,39,1.0,4,6,0.0
0,6,18,27.8,2.0,34,1.0,0,10,0.0
0,6,20,29.0,1.5,29,1.0,0,7,0.0
5,2,40,42.7,0.2,53,0.0,4,1,1.0
0,6,37,44.6,1.1,59,1.0,0,4,0.0
6,0,35,35.9,0.0,36,0.0,10,0,1.0
6,0,56,44.7,2.7,29,0.0,7,0,1.0
0,6,26,36.6,2.2,52,1.0,0,8,0.0
0,6,36,38.9,1.1,66,1.0,0,8,0.0
5,4,46,45.5,2.0,38,0.0,4,5,1.0
4,6,19,31.8,1.2,29,1.0,4,9,0.0
4,6,20,26.0,0.1,30,1.0,4,10,0.0
6,0,47,29.8,0.0,20,0.0,9,0,1.0
2,6,25,31.9,0.0,42,1.0,1,10,0.0
0,4,39,37.1,0.1,36,1.0,0,6,0.0
2,6,50,40.1,0.2,66,1.0,1,9,0.0
6,2,34,32.6,0.1,14,0.0,8,2,1.0
4,6,28,30.2,1.6,37,1.0,3,10,0.0
4,0,42,45.6,1.6,42,0.0,7,0,1.0
6,2,42,26.2,3.4,13,0.0,11,2,1.0
6,0,55,52.2,1.8,47,0.0,7,0,1.0
2,6,25,29.4,1.4,52,1.0,1,9,0.0
6,4,33,30.9,0.5,25,0.0,8,2,1.0
6,4,59,45.4,2.7,39,0.0,7,2,1.0
0,6,26,38.5,0.0,49,1.0,0,8,0.0
6,4,44,30.8,2.1,12,0.0,10,3,1.0
0,6,30,38.3,0.8,51,1.0,0,8,0.0
6,0,59,32.8,0.0,25,0.0,9,0,1.0
6,2,47,32.6,0.2,24,0.0,10,1,1.0
3,6,40,30.1,0.0,45,1.0,2,9,0.0
3,5,52,47.0,2.7,54,1.0,1,3,0.0
0,6,38,47.8,1.1,59,1.0,0,7,0.0
0,6,48,46.4,0.0,46,1.0,0,3,0.0
2,6,30,43.2,4.7,48,1.0,2,6,0.0
6,0,42,31.8,4.0,14,0.0,9,0,1.0
0,6,31,33.9,1.4,58,1.0,0,8,0.0
6,2,42,36.1,0.1,30,0.0,9,1,1.0
6,0,35,34.3,0.3,20,0.0,9,0,1.0
4,6,45,38.7,0.5,45,1.0,4,4,0.0
0,6,39,40.1,0.3,55,1.0,0,9,0.0
4,0,57,45.0,2.4,49,0.0,5,0,1.0
6,4,48,44.2,1.2,31,0.0,6,1,1.0
0,6,37,36.0,0.0,44,1.0,0,10,0.0
4,6,10,26.5,1.4,36,1.0,2,9,0.0
6,0,44,37.4,0.1,24,0.0,9,0,1.0
6,2,42,30.4,0.5,16,0.0,9,1,1.0
4,4,45,44.5,3.0,48,0.0,4,4,1.0
6,2,47,47.0,1.6,38,0.0,8,1,1.0
6,2,53,44.4,1.8,44,0.0,5,2,1.0
6,0,39,42.8,1.9,27,0.0,7,0,1.0
4,6,19,35.1,1.8,53,1.0,2,10,0.0
0,6,20,29.3,1.9,36,1.0,0,7,0.0
2,6,22,29.7,0.0,41,1.0,1,8,0.0
2,6,18,24.1,0.3,50,1.0,1,11,0.0
6,2,41,21.9,0.1,5,0.0,10,1,1.0
4,6,26,44.7,2.2,39,1.0,2,9,0.0
6,0,43,27.0,1.4,25,0.0,10,0,1.0
5,2,44,41.6,0.2,27,0.0,4,2,1.0
4,6,23,28.1,1.2,38,1.0,3,8,0.0
6,0,61,58.2,0.2,55,0.0,5,0,1.0
6,4,51,57.6,0.2,52,0.0,5,1,1.0
2,6,42,40.1,0.9,29,0.0,4,2,1.0
6,3,40,38.1,0.2,31,0.0,11,2,1.0
0,6,17,23.4,0.2,51,1.0,0,11,0.0
6,0,36,23.2,2.2,16,0.0,11,0,1.0
2,6,47,46.8,0.8,47,1.0,1,6,0.0
5,0,41,47.4,0.8,43,0.0,5,0,1.0
2,6,30,38.7,2.2,42,1.0,1,8,0.0
3,4,47,48.1,2.2,32,0.0,3,2,1.0
6,2,39,34.3,3.7,25,0.0,8,2,1.0
6,0,45,35.5,0.0,32,0.0,8,0,1.0
0,6,26,31.4,0.8,42,1.0,0,10,0.0
0,6,18,29.6,2.0,55,1.0,0,11,0.0
2,6,17,23.5,0.1,41,1.0,1,11,0.0
